PetID,ShelterID,Name,Type,Breed,Age,Size,Color,Sex,DateOfIntake
89,15,Christy,Dog,Poodle,6,Medium,MediumOrchid,Male,2023-09-18
90,224,Trevor,Hamster,Winter White,8,Small,PaleGreen,Male,2025-01-03
91,23,Anthony,Cat,Persian,2,Small,LightBlue,Female,2022-10-14
92,302,Jesse,Hamster,Syrian,14,Medium,DarkBlue,Male,2022-08-28
93,213,Billy,Dog,Bulldog,1,Large,Sienna,Female,2022-10-30
94,427,Brett,Cat,Persian,8,Large,MediumSpringGreen,Male,2024-08-24
95,424,Marissa,Rabbit,Netherland Dwarf,1,Small,PaleGreen,Female,2024-02-29
96,135,Christopher,Rabbit,Lionhead,3,Large,Indigo,Male,2022-11-23
97,177,Kerry,Cat,Persian,8,Large,Red,Female,2022-10-31
98,324,Cory,Hamster,Roborovski,14,Large,CadetBlue,Female,2023-03-20
99,132,Jennifer,Hamster,Syrian,9,Small,Blue,Male,2025-02-25
100,145,Gregory,Dog,Golden Retriever,2,Small,Wheat,Male,2023-04-30
101,388,Barry,Rabbit,Lionhead,4,Medium,SandyBrown,Female,2024-03-11
102,211,Jacob,Dog,Bulldog,1,Medium,Yellow,Female,2022-04-06
103,109,Bradley,Dog,Poodle,15,Medium,DodgerBlue,Male,2024-06-19
104,364,Jane,Cat,American Shorthair,11,Medium,SpringGreen,Male,2023-01-12
105,329,Thomas,Rabbit,Netherland Dwarf,12,Large,GhostWhite,Male,2024-07-17
106,103,John,Rabbit,Mini Lop,14,Large,MediumVioletRed,Male,2023-11-08
107,252,Karl,Bird,Parakeet,8,Small,DarkRed,Male,2023-03-12
108,373,Shawna,Bird,Finch,4,Small,LightSalmon,Female,2024-04-23
109,320,Katrina,Dog,German Shepherd,10,Medium,Aquamarine,Male,2024-03-12
110,448,Hailey,Dog,Labrador,4,Medium,OldLace,Female,2024-03-30
111,366,Alicia,Hamster,Syrian,6,Medium,Aquamarine,Female,2024-09-12
112,129,Shannon,Bird,Canary,6,Medium,FloralWhite,Female,2024-04-02
113,391,Diana,Dog,Poodle,5,Medium,Gray,Male,2022-07-01
114,415,Shannon,Rabbit,Rex,14,Medium,MediumSeaGreen,Female,2024-12-25
115,361,Barbara,Dog,Golden Retriever,6,Medium,HotPink,Female,2024-04-21
116,356,Donald,Rabbit,Lionhead,15,Medium,Wheat,Female,2024-10-23
117,42,Lisa,Dog,Poodle,3,Large,Silver,Female,2024-02-15
118,344,Thomas,Bird,Cockatiel,15,Small,GreenYellow,Female,2025-01-29
119,20,Glenda,Rabbit,Mini Lop,7,Small,GoldenRod,Male,2024-07-27
120,330,Juan,Dog,Golden Retriever,1,Medium,PeachPuff,Male,2022-09-20
121,227,Maria,Bird,Parakeet,6,Small,DarkViolet,Male,2023-01-14
122,81,Alexis,Hamster,Chinese,6,Medium,Yellow,Male,2023-10-23
123,376,Rita,Bird,Cockatiel,8,Medium,Tan,Female,2022-11-10
124,327,Paige,Dog,Bulldog,5,Large,MediumOrchid,Male,2024-10-01
125,236,Elizabeth,Bird,Canary,13,Large,Ivory,Female,2022-08-27
126,383,Jennifer,Bird,Canary,6,Large,LightPink,Female,2022-04-01
127,447,Scott,Bird,Lovebird,8,Large,CornflowerBlue,Female,2023-11-29
128,105,Jacob,Hamster,Dwarf Campbell,2,Large,FireBrick,Male,2024-07-26
129,80,Denise,Hamster,Syrian,3,Large,Indigo,Female,2023-08-15
130,441,John,Cat,Persian,9,Medium,AliceBlue,Male,2023-07-09
131,387,Brian,Rabbit,Holland Lop,14,Large,DarkOrange,Male,2024-08-21
132,66,Kirsten,Cat,Siamese,1,Medium,LightCoral,Female,2024-11-11
133,468,Colton,Bird,Canary,1,Medium,DarkMagenta,Male,2024-02-19
134,464,Abigail,Hamster,Syrian,12,Small,FloralWhite,Male,2023-03-03
135,223,Christine,Hamster,Roborovski,14,Medium,Olive,Female,2022-09-30
136,212,Amanda,Bird,Canary,6,Large,Thistle,Male,2022-10-31
137,477,Lisa,Hamster,Chinese,11,Large,Purple,Female,2022-07-16
138,132,Andrea,Hamster,Chinese,6,Large,Lavender,Female,2022-06-11
139,295,Jessica,Cat,Maine Coon,15,Large,PaleGreen,Male,2022-04-07
140,371,Stephanie,Rabbit,Rex,5,Small,LightCoral,Female,2024-11-18
141,38,Angela,Cat,Maine Coon,4,Large,Olive,Male,2022-12-04
142,479,Sierra,Dog,Bulldog,3,Large,Gainsboro,Male,2025-01-22
143,169,Steven,Rabbit,Mini Lop,14,Small,Lavender,Female,2024-02-07
144,370,Calvin,Dog,Labrador,10,Large,DarkOrchid,Male,2023-06-06
145,82,Sara,Rabbit,Lionhead,8,Medium,DarkKhaki,Female,2022-09-19
146,136,Nichole,Bird,Cockatiel,12,Large,Wheat,Male,2022-12-03
147,449,Robert,Rabbit,Holland Lop,8,Small,BurlyWood,Female,2024-06-03
148,422,Stephanie,Rabbit,Netherland Dwarf,9,Large,Plum,Male,2022-08-14
149,262,Peter,Rabbit,Netherland Dwarf,8,Large,MediumTurquoise,Female,2022-10-12
150,228,Pam,Dog,Poodle,3,Medium,DarkOrange,Female,2022-11-11
151,144,Gina,Rabbit,Holland Lop,5,Medium,MediumVioletRed,Male,2022-04-01
152,180,Dana,Dog,German Shepherd,4,Small,SeaGreen,Male,2022-11-23
153,91,Rebecca,Dog,Poodle,12,Large,PowderBlue,Female,2023-08-12
154,449,Edward,Hamster,Syrian,6,Small,DarkGreen,Male,2023-12-04
155,269,Justin,Cat,Siamese,9,Medium,OliveDrab,Female,2024-04-01
156,293,Brandon,Hamster,Syrian,2,Medium,Fuchsia,Female,2023-07-09
157,142,Leslie,Rabbit,Holland Lop,13,Small,LightSkyBlue,Female,2022-08-19
158,387,Bradley,Rabbit,Rex,4,Medium,Peru,Female,2024-02-11
159,337,Robin,Bird,Finch,4,Medium,Gold,Male,2022-07-16
160,118,Nicole,Cat,British Shorthair,1,Small,SkyBlue,Male,2024-09-03
161,145,Donna,Bird,Cockatiel,6,Large,Chocolate,Female,2024-11-15
162,168,Alan,Bird,Parakeet,3,Medium,SandyBrown,Male,2022-09-29
163,119,Christopher,Hamster,Winter White,13,Small,LightCoral,Male,2025-02-27
164,136,David,Cat,American Shorthair,4,Medium,Chocolate,Female,2022-06-07
165,16,Jennifer,Hamster,Chinese,2,Large,Maroon,Male,2024-01-05
166,442,Chelsea,Dog,Labrador,1,Small,GoldenRod,Female,2024-05-13
167,239,Bradley,Bird,Parakeet,10,Small,HoneyDew,Female,2023-12-18
168,77,Renee,Dog,Poodle,7,Large,BlueViolet,Female,2024-05-14
169,405,Donna,Hamster,Chinese,6,Medium,DarkViolet,Male,2024-08-11
170,364,Angela,Rabbit,Netherland Dwarf,2,Medium,SeaShell,Male,2024-09-20
171,356,James,Hamster,Syrian,2,Large,ForestGreen,Female,2024-01-22
172,79,Jordan,Cat,Siamese,10,Medium,DarkBlue,Male,2023-08-01
173,374,Joyce,Hamster,Winter White,4,Small,DarkBlue,Male,2023-05-05
174,246,Kimberly,Bird,Cockatiel,3,Medium,PaleGoldenRod,Male,2024-12-19
175,343,Jeffery,Cat,Siamese,11,Large,SlateGray,Female,2023-09-12
176,165,James,Hamster,Roborovski,5,Large,Orange,Female,2023-12-24
177,301,Sarah,Bird,Parakeet,11,Small,Lime,Female,2024-09-20
178,8,Michelle,Dog,Labrador,14,Large,FloralWhite,Female,2023-10-27
179,356,Michael,Rabbit,Holland Lop,3,Medium,SaddleBrown,Male,2024-03-20
180,27,Raymond,Bird,Cockatiel,3,Large,MediumBlue,Female,2023-05-27
181,378,Sarah,Bird,Finch,11,Large,DarkRed,Female,2023-11-03
182,235,Tiffany,Rabbit,Mini Lop,7,Medium,Sienna,Female,2023-06-13
183,396,Chelsea,Dog,Poodle,10,Small,DarkOliveGreen,Male,2024-04-23
184,38,Toni,Cat,Siamese,15,Medium,DarkSlateGray,Male,2024-06-14
185,471,Teresa,Hamster,Dwarf Campbell,5,Small,Salmon,Male,2024-12-29
186,187,Kristy,Rabbit,Lionhead,7,Large,Orchid,Female,2023-08-01
187,486,Alejandro,Hamster,Dwarf Campbell,4,Large,MediumBlue,Female,2024-04-22
188,140,Karen,Bird,Canary,7,Medium,Beige,Male,2024-01-09
189,372,Michelle,Rabbit,Rex,5,Large,DarkTurquoise,Female,2023-04-10
190,297,Meghan,Hamster,Chinese,8,Large,Orange,Female,2025-02-05
191,291,Jennifer,Dog,Poodle,11,Medium,DarkKhaki,Male,2024-06-06
192,26,James,Dog,Poodle,15,Small,DimGray,Female,2023-10-30
193,115,Phillip,Dog,Golden Retriever,9,Small,FloralWhite,Female,2023-09-11
194,313,Monica,Rabbit,Netherland Dwarf,3,Small,LightBlue,Male,2023-07-24
195,227,Wendy,Rabbit,Netherland Dwarf,8,Large,LawnGreen,Female,2023-11-13
196,357,Laura,Cat,Siamese,3,Large,MediumSeaGreen,Female,2023-08-13
197,143,Andrea,Bird,Lovebird,2,Small,Lime,Male,2025-02-28
198,72,Carol,Dog,Golden Retriever,11,Medium,LightSteelBlue,Male,2023-01-02
199,69,Elizabeth,Cat,Siamese,12,Medium,LimeGreen,Female,2024-11-11
200,297,Kaitlyn,Hamster,Roborovski,12,Small,MediumSlateBlue,Male,2024-08-06
201,380,John,Bird,Lovebird,5,Small,SaddleBrown,Male,2023-11-01
202,54,Adam,Rabbit,Lionhead,9,Medium,Orange,Female,2023-01-26
203,87,Melinda,Bird,Finch,13,Medium,LightYellow,Female,2022-09-15
204,214,Amanda,Dog,Labrador,3,Medium,LightCoral,Male,2022-12-20
205,67,Jennifer,Hamster,Roborovski,7,Large,DeepSkyBlue,Male,2024-02-29
206,447,Dwayne,Cat,American Shorthair,11,Medium,MediumBlue,Male,2024-07-06
207,324,Ashley,Rabbit,Netherland Dwarf,7,Small,Chartreuse,Female,2023-02-02
208,270,John,Cat,Persian,11,Medium,DeepSkyBlue,Female,2023-07-28
209,327,James,Rabbit,Holland Lop,9,Small,RosyBrown,Male,2023-02-02
210,389,Hayden,Bird,Canary,11,Medium,Wheat,Male,2023-03-01
211,232,Christopher,Hamster,Roborovski,6,Small,Pink,Female,2024-11-09
212,111,Emily,Rabbit,Lionhead,9,Large,LimeGreen,Male,2024-03-02
213,95,Megan,Hamster,Syrian,12,Large,Silver,Male,2022-06-23
214,213,Mikayla,Bird,Parakeet,5,Large,MidnightBlue,Female,2022-10-05
215,316,Roy,Rabbit,Holland Lop,4,Small,PeachPuff,Female,2023-02-15
216,25,David,Hamster,Dwarf Campbell,12,Medium,MediumAquaMarine,Male,2023-02-27
217,259,Vickie,Hamster,Roborovski,12,Small,MediumVioletRed,Male,2024-06-06
218,40,Betty,Cat,American Shorthair,1,Small,LightBlue,Female,2023-10-06
219,116,Dawn,Cat,Siamese,5,Small,AntiqueWhite,Female,2022-05-11
220,410,Ann,Cat,Maine Coon,5,Small,FireBrick,Female,2024-12-31
221,259,Maria,Hamster,Syrian,11,Small,PeachPuff,Male,2023-11-30
222,330,Ashley,Rabbit,Holland Lop,1,Medium,Silver,Female,2023-04-07
223,299,Dillon,Rabbit,Mini Lop,2,Small,LightSlateGray,Male,2023-01-16
224,259,Daniel,Bird,Cockatiel,1,Medium,Wheat,Male,2022-06-18
225,176,Benjamin,Cat,Persian,5,Small,LightSkyBlue,Female,2025-03-02
226,169,Abigail,Rabbit,Holland Lop,11,Small,DarkSlateBlue,Male,2023-10-12
227,269,Joseph,Cat,American Shorthair,12,Small,Coral,Female,2023-01-14
228,275,Charlene,Cat,Siamese,6,Medium,OldLace,Male,2022-10-24
229,449,Nancy,Rabbit,Netherland Dwarf,1,Large,SkyBlue,Male,2024-02-04
230,361,Bonnie,Rabbit,Lionhead,14,Medium,Purple,Male,2024-12-08
231,292,Todd,Dog,Poodle,10,Small,Chocolate,Female,2024-05-22
232,94,Christopher,Rabbit,Lionhead,14,Medium,DarkSlateGray,Female,2022-07-27
233,340,Rachel,Bird,Cockatiel,3,Medium,GreenYellow,Female,2023-11-29
234,340,Kerry,Rabbit,Mini Lop,8,Small,DarkCyan,Female,2024-03-03
235,120,Derrick,Rabbit,Lionhead,13,Large,Khaki,Female,2024-12-30
236,318,Jacob,Bird,Finch,1,Small,Olive,Male,2023-06-21
237,121,Eric,Cat,American Shorthair,11,Medium,SlateGray,Female,2022-12-21
238,80,Tammy,Hamster,Syrian,2,Large,SlateGray,Male,2024-03-30
239,203,Jonathan,Bird,Finch,14,Medium,YellowGreen,Female,2022-11-18
240,48,Vincent,Dog,Bulldog,13,Small,LightCoral,Female,2023-09-13
241,319,William,Cat,Maine Coon,2,Small,IndianRed,Male,2023-03-06
242,136,Christina,Dog,Bulldog,12,Small,OrangeRed,Male,2023-01-31
243,432,Robert,Dog,Poodle,7,Small,Crimson,Female,2024-11-08
244,449,Carmen,Hamster,Roborovski,10,Large,MediumTurquoise,Male,2024-10-19
245,55,Sarah,Dog,Labrador,10,Small,LightCyan,Female,2024-02-09
246,465,Jennifer,Rabbit,Rex,9,Small,SeaGreen,Female,2022-11-25
247,331,Lisa,Bird,Lovebird,14,Small,MediumSpringGreen,Female,2022-12-09
248,353,Ian,Dog,Poodle,14,Medium,LightSkyBlue,Male,2024-03-04
249,462,Regina,Hamster,Syrian,6,Small,FireBrick,Female,2024-08-16
250,485,Lisa,Hamster,Chinese,14,Medium,LightGoldenRodYellow,Male,2023-10-26
251,123,Alicia,Cat,Maine Coon,5,Medium,PowderBlue,Male,2024-11-11
252,1,Darius,Hamster,Dwarf Campbell,3,Small,Aquamarine,Female,2024-03-23
253,429,Jeffrey,Dog,Golden Retriever,10,Small,SpringGreen,Female,2022-07-29
254,57,Diana,Hamster,Winter White,11,Medium,DarkGreen,Female,2023-06-01
255,19,Chad,Dog,German Shepherd,10,Large,Azure,Male,2023-11-25
256,442,Michael,Bird,Finch,14,Small,DarkSlateBlue,Female,2024-08-04
257,227,Connor,Hamster,Dwarf Campbell,1,Small,White,Male,2023-11-03
258,237,Bryan,Bird,Parakeet,5,Medium,PowderBlue,Female,2022-05-09
259,138,Frank,Cat,Maine Coon,6,Large,Coral,Female,2022-04-01
260,211,Joshua,Rabbit,Rex,9,Small,PapayaWhip,Female,2023-05-12
261,19,Gary,Dog,Golden Retriever,5,Medium,PaleVioletRed,Female,2024-12-25
262,308,Stephen,Cat,British Shorthair,3,Small,Gray,Male,2022-10-20
263,277,Christopher,Bird,Canary,1,Large,DarkSlateBlue,Male,2022-06-23
264,152,Patty,Bird,Parakeet,14,Small,GreenYellow,Male,2024-09-30
265,450,Cynthia,Dog,Poodle,6,Large,BlanchedAlmond,Female,2025-03-30
266,187,Gabrielle,Rabbit,Mini Lop,8,Medium,FireBrick,Male,2022-05-09
267,343,Gloria,Cat,American Shorthair,12,Medium,SlateBlue,Female,2023-02-11
268,53,Douglas,Dog,German Shepherd,12,Large,DarkGray,Female,2024-11-10
269,222,Jonathan,Cat,Maine Coon,7,Medium,DarkGray,Female,2022-05-19
270,290,Jessica,Dog,Golden Retriever,3,Large,Teal,Male,2022-11-05
271,164,Justin,Hamster,Syrian,15,Medium,DeepPink,Female,2023-07-30
272,19,Mitchell,Dog,Labrador,15,Small,Gainsboro,Female,2022-04-23
273,281,Christine,Bird,Parakeet,6,Large,Aquamarine,Male,2023-09-18
274,474,Michael,Bird,Parakeet,12,Medium,Fuchsia,Female,2023-09-09
275,287,Allison,Dog,Labrador,8,Small,Snow,Male,2025-01-23
276,286,Todd,Rabbit,Mini Lop,13,Small,DarkTurquoise,Female,2025-01-15
277,253,Travis,Hamster,Syrian,1,Large,HoneyDew,Male,2022-05-04
278,194,Jennifer,Bird,Canary,6,Small,IndianRed,Male,2024-11-03
279,314,Nancy,Rabbit,Mini Lop,8,Medium,SkyBlue,Female,2022-08-11
280,20,Tasha,Bird,Parakeet,1,Small,Lime,Male,2022-04-22
281,457,Megan,Rabbit,Netherland Dwarf,14,Small,Gray,Male,2023-08-19
282,199,Deborah,Rabbit,Rex,13,Medium,LavenderBlush,Male,2023-08-04
283,421,Amy,Rabbit,Holland Lop,13,Medium,Peru,Female,2023-03-28
284,456,Ann,Rabbit,Holland Lop,8,Small,SaddleBrown,Female,2024-08-04
285,218,Clarence,Dog,Poodle,8,Medium,LightSeaGreen,Female,2024-12-07
286,453,Cindy,Cat,Siamese,7,Medium,DarkMagenta,Male,2022-12-28
287,218,Zachary,Bird,Cockatiel,10,Small,MediumBlue,Female,2022-05-23
288,126,Benjamin,Hamster,Chinese,9,Medium,PaleTurquoise,Female,2022-12-24
289,183,Jane,Dog,Bulldog,5,Small,Fuchsia,Female,2024-10-31
290,232,Laura,Dog,Bulldog,7,Small,Turquoise,Male,2025-03-02
291,323,Jillian,Dog,German Shepherd,10,Large,Coral,Male,2024-01-10
292,121,Laura,Rabbit,Holland Lop,1,Small,LightSalmon,Female,2024-06-28
293,322,Alicia,Hamster,Chinese,3,Medium,DarkSlateBlue,Male,2025-02-07
294,270,Dominique,Dog,Poodle,14,Large,MintCream,Female,2023-08-09
295,295,Cody,Rabbit,Rex,9,Medium,Salmon,Male,2022-04-27
296,266,Andrew,Dog,Golden Retriever,5,Medium,LightGray,Male,2023-08-15
297,471,Diana,Cat,American Shorthair,11,Medium,MidnightBlue,Male,2024-10-21
298,136,Robert,Cat,Persian,7,Large,HotPink,Female,2023-12-27
299,96,Sharon,Dog,Bulldog,5,Medium,HoneyDew,Female,2023-02-14
300,333,Marilyn,Bird,Canary,4,Small,DodgerBlue,Female,2024-07-31
301,12,William,Hamster,Syrian,13,Large,DarkCyan,Male,2024-10-27
302,34,Sharon,Cat,British Shorthair,8,Medium,LightBlue,Male,2023-10-17
303,488,Rebecca,Dog,Golden Retriever,6,Medium,LightCoral,Male,2023-12-23
304,367,Sydney,Cat,American Shorthair,5,Small,DimGray,Male,2024-09-18
305,131,Dawn,Bird,Finch,10,Medium,DarkRed,Female,2022-06-30
306,449,Jenny,Cat,Siamese,7,Large,Khaki,Female,2022-08-28
307,346,Regina,Rabbit,Netherland Dwarf,7,Small,HotPink,Male,2023-12-27
308,44,Lisa,Bird,Finch,10,Medium,DarkSalmon,Male,2024-11-06
309,101,Todd,Hamster,Dwarf Campbell,13,Small,SlateGray,Female,2022-09-27
310,271,Christopher,Rabbit,Rex,3,Small,LightSeaGreen,Male,2024-05-27
311,361,Lee,Cat,British Shorthair,2,Large,RosyBrown,Female,2023-03-19
312,214,Aaron,Dog,Bulldog,11,Large,LawnGreen,Male,2024-09-12
313,146,Michelle,Hamster,Syrian,4,Small,YellowGreen,Female,2023-06-13
314,191,Donna,Bird,Finch,5,Large,LightSkyBlue,Female,2022-12-19
315,469,Brett,Dog,Poodle,3,Large,Brown,Male,2023-02-18
316,108,Sue,Bird,Finch,9,Small,OrangeRed,Female,2024-05-19
317,314,Tiffany,Dog,Labrador,13,Large,Green,Female,2024-12-21
318,422,Jeremy,Rabbit,Holland Lop,8,Large,DarkOrchid,Male,2022-07-23
319,215,Teresa,Bird,Cockatiel,14,Large,DarkGray,Male,2022-05-03
320,153,Latasha,Bird,Parakeet,9,Large,Teal,Male,2024-02-03
321,32,Kathleen,Hamster,Dwarf Campbell,3,Small,Orchid,Female,2024-06-21
322,138,Robert,Bird,Parakeet,5,Medium,DarkSalmon,Female,2022-08-03
323,376,Janice,Rabbit,Holland Lop,10,Medium,LightSteelBlue,Male,2025-03-22
324,143,Megan,Rabbit,Holland Lop,10,Medium,Gainsboro,Male,2024-04-17
325,180,Robert,Cat,American Shorthair,4,Small,Thistle,Female,2024-02-02
326,121,Jonathan,Dog,Golden Retriever,9,Small,DarkGoldenRod,Male,2025-01-22
327,464,Erica,Hamster,Chinese,3,Small,Thistle,Male,2023-01-04
328,250,Joshua,Hamster,Winter White,7,Small,LightGray,Male,2023-08-15
329,6,Renee,Rabbit,Mini Lop,1,Large,DarkOliveGreen,Male,2023-12-11
330,308,Jonathon,Hamster,Dwarf Campbell,5,Large,MistyRose,Female,2024-10-27
331,486,Wendy,Bird,Canary,13,Small,Chartreuse,Female,2024-06-12
332,467,William,Dog,Bulldog,13,Medium,Red,Female,2023-10-22
333,395,Krista,Rabbit,Mini Lop,1,Large,MediumSpringGreen,Male,2023-02-27
334,336,Peggy,Rabbit,Netherland Dwarf,2,Medium,Linen,Female,2025-01-29
335,219,Sandra,Cat,British Shorthair,11,Medium,Ivory,Male,2022-05-29
336,114,David,Bird,Finch,4,Medium,Orchid,Female,2022-06-03
337,248,Frederick,Dog,German Shepherd,8,Small,DarkGray,Female,2024-12-04
