RecordID,UserID,DateOfAdoption,PetType
67,658,2020-07-17,Cat
68,658,2015-09-29,Turtle
69,18,2022-02-09,Turtle
70,771,2022-08-18,Dog
71,771,2018-02-21,Turtle
72,1222,2022-10-12,Hamster
73,580,2018-04-03,Dog
74,580,2018-12-17,Dog
75,672,2018-06-28,Turtle
76,432,2023-04-28,Turtle
77,1119,2020-05-24,Rabbit
78,993,2023-07-22,Rabbit
79,993,2018-06-17,Hamster
80,1139,2017-08-17,Cat
81,1139,2021-02-08,Dog
82,605,2022-05-31,Dog
83,552,2019-05-25,Rabbit
84,552,2018-01-17,Turtle
85,936,2017-09-09,Hamster
86,936,2018-06-21,Bird
87,621,2024-06-29,Bird
88,621,2018-11-10,Rabbit
89,1061,2022-07-17,Rabbit
90,9,2016-11-16,Hamster
91,971,2021-02-05,Cat
92,83,2016-02-16,Dog
93,891,2022-11-19,Turtle
94,1008,2016-01-29,Cat
95,1008,2022-08-20,Dog
96,1064,2023-11-06,Dog
97,690,2024-02-29,Bird
98,690,2023-09-14,Hamster
99,156,2016-12-20,Turtle
100,814,2017-09-29,Rabbit
101,1105,2024-04-04,Dog
102,1105,2019-01-31,Rabbit
103,140,2023-03-08,Cat
104,227,2020-03-29,Cat
105,811,2016-09-18,Rabbit
106,1121,2022-03-17,Rabbit
107,53,2016-10-31,Bird
108,53,2018-05-21,Cat
109,1207,2020-06-26,Cat
110,1043,2020-11-15,Rabbit
111,1043,2016-12-07,Turtle
112,1197,2018-07-09,Bird
113,1104,2024-03-30,Bird
114,1111,2020-06-13,Cat
115,1111,2023-03-14,Dog
116,44,2022-06-26,Bird
117,44,2015-09-19,Dog
118,955,2020-10-24,Bird
119,250,2019-12-21,Turtle
120,1040,2017-05-09,Bird
121,1141,2016-05-10,Turtle
122,1141,2020-03-29,Dog
123,844,2023-03-30,Dog
124,844,2022-11-27,Dog
125,874,2016-05-05,Rabbit
126,874,2018-01-08,Turtle
127,870,2020-05-07,Turtle
128,870,2018-12-23,Hamster
129,755,2022-12-13,Rabbit
130,218,2020-02-18,Hamster
131,218,2018-10-14,Rabbit
132,615,2022-09-14,Dog
133,23,2016-09-09,Hamster
134,833,2016-01-02,Bird
135,364,2015-07-13,Turtle
136,364,2024-06-02,Dog
137,141,2020-11-10,Cat
138,141,2020-05-27,Dog
139,266,2015-07-24,Dog
140,483,2020-11-09,Turtle
141,160,2023-09-21,Bird
142,160,2023-02-02,Dog
143,1005,2019-05-28,Turtle
144,1005,2018-03-12,Hamster
145,1013,2021-03-22,Cat
146,721,2023-12-18,Turtle
147,721,2017-01-24,Hamster
148,1114,2024-02-15,Bird
149,997,2020-12-14,Dog
150,997,2024-01-25,Hamster
151,143,2015-07-29,Bird
152,677,2020-06-21,Cat
153,677,2019-11-14,Turtle
154,1112,2016-01-04,Turtle
155,473,2022-05-06,Hamster
156,787,2017-08-17,Bird
157,787,2022-09-08,Dog
158,1102,2020-12-15,Turtle
159,1211,2022-08-13,Turtle
160,1079,2017-05-03,Rabbit
161,1079,2022-03-08,Dog
162,800,2018-08-24,Bird
163,800,2021-12-28,Rabbit
164,55,2019-08-05,Cat
165,461,2019-08-22,Cat
166,583,2016-12-11,Turtle
167,583,2016-05-01,Rabbit
168,98,2022-09-17,Turtle
169,98,2022-01-21,Rabbit
170,778,2023-03-19,Rabbit
171,577,2017-06-04,Bird
172,577,2024-09-01,Dog
173,768,2019-12-21,Dog
174,768,2016-01-10,Hamster
175,571,2023-09-07,Rabbit
176,571,2021-12-07,Rabbit
177,640,2019-06-09,Bird
178,153,2023-12-23,Turtle
179,153,2019-08-18,Bird
180,146,2021-08-05,Hamster
181,146,2022-02-13,Dog
182,679,2018-08-27,Hamster
183,981,2021-02-22,Rabbit
184,981,2017-07-14,Hamster
185,779,2024-09-04,Bird
186,779,2015-11-09,Rabbit
187,1156,2020-07-20,Bird
188,514,2022-01-16,Hamster
189,271,2021-11-14,Dog
190,1049,2017-09-19,Turtle
191,521,2021-10-28,Cat
192,1135,2021-10-13,Bird
193,1007,2019-08-12,Hamster
194,573,2019-04-27,Turtle
195,629,2019-04-14,Cat
196,629,2017-12-17,Turtle
197,1159,2015-12-31,Dog
198,24,2017-01-31,Turtle
199,24,2017-09-11,Turtle
200,151,2021-02-16,Cat
201,151,2019-04-15,Dog
202,123,2015-08-24,Turtle
203,123,2023-07-17,Turtle
204,491,2024-04-06,Hamster
205,491,2024-03-25,Rabbit
206,453,2017-10-21,Rabbit
207,327,2017-07-28,Rabbit
208,327,2023-03-20,Rabbit
209,876,2015-09-27,Dog
210,69,2020-02-04,Turtle
211,1076,2018-12-04,Rabbit
212,1177,2017-07-30,Cat
213,234,2019-05-23,Dog
214,234,2016-07-18,Hamster
215,217,2018-12-21,Hamster
216,902,2019-08-16,Turtle
217,209,2017-03-24,Rabbit
218,742,2024-07-12,Dog
219,742,2021-05-03,Dog
220,526,2019-09-01,Turtle
221,889,2016-12-13,Cat
222,612,2020-03-02,Dog
223,952,2022-06-21,Bird
224,952,2016-09-01,Bird
225,265,2021-02-17,Rabbit
226,265,2022-12-26,Bird
227,539,2018-12-13,Hamster
228,539,2018-02-20,Cat
229,696,2019-05-11,Turtle
230,854,2021-01-18,Hamster
231,714,2023-08-03,Bird
232,306,2020-08-23,Turtle
233,306,2018-06-27,Dog
234,367,2020-01-05,Turtle
235,367,2024-04-25,Turtle
236,619,2021-07-16,Hamster
237,619,2023-08-19,Cat
238,345,2018-04-11,Turtle
239,345,2020-01-30,Rabbit
240,1202,2021-03-24,Bird
241,1202,2022-08-01,Dog
242,561,2016-08-20,Bird
243,375,2020-07-24,Rabbit
244,1199,2017-04-23,Hamster
245,598,2021-10-09,Turtle
246,513,2024-04-11,Dog
247,513,2018-09-22,Bird
248,705,2017-09-11,Bird
249,705,2017-10-03,Dog
250,1224,2015-05-23,Dog
251,1044,2023-08-28,Dog
252,1044,2023-08-01,Rabbit
253,235,2022-12-08,Cat
254,382,2020-11-16,Turtle
255,382,2017-02-03,Cat
256,149,2021-04-17,Dog
257,149,2017-04-04,Hamster
258,832,2018-12-14,Rabbit
259,881,2015-12-13,Dog
260,459,2023-09-16,Dog
261,976,2018-04-04,Cat
262,1024,2020-04-21,Hamster
263,1024,2016-03-11,Cat
264,150,2020-05-13,Turtle
265,150,2020-02-01,Turtle
266,951,2022-10-26,Hamster
267,951,2016-06-02,Bird
268,840,2023-05-15,Hamster
269,840,2018-10-18,Cat
270,414,2020-11-11,Hamster
271,937,2022-05-24,Turtle
272,749,2016-06-21,Turtle
273,749,2020-05-22,Dog
274,39,2016-10-28,Rabbit
275,1054,2020-11-03,Rabbit
276,1054,2020-08-12,Dog
277,1014,2017-12-16,Bird
278,1014,2017-02-12,Dog
279,1219,2023-08-23,Bird
280,1146,2017-04-19,Turtle
281,210,2016-03-29,Turtle
282,210,2020-06-11,Turtle
283,131,2023-04-05,Dog
284,131,2023-10-24,Dog
285,435,2016-06-12,Dog
286,435,2015-04-18,Cat
287,627,2015-04-23,Rabbit
288,627,2021-11-06,Cat
289,341,2017-05-17,Hamster
290,1127,2020-01-19,Bird
291,797,2018-08-31,Rabbit
292,20,2018-04-24,Rabbit
293,20,2023-03-28,Hamster
294,562,2017-03-01,Rabbit
295,562,2018-11-02,Hamster
296,900,2023-02-01,Bird
297,900,2022-02-08,Hamster
298,77,2021-01-30,Cat
299,77,2018-03-07,Rabbit
300,201,2020-06-03,Cat
301,848,2015-08-14,Cat
302,1201,2024-07-02,Cat
303,147,2020-08-28,Bird
304,845,2023-12-16,Dog
305,110,2024-01-22,Cat
306,110,2017-11-24,Turtle
307,93,2021-01-25,Hamster
308,93,2020-07-11,Bird
309,934,2018-09-13,Cat
310,934,2017-12-25,Hamster
311,48,2023-04-12,Cat
312,27,2020-10-28,Dog
313,27,2021-08-22,Rabbit
314,713,2016-10-01,Rabbit
315,713,2022-12-01,Bird
316,588,2016-11-24,Rabbit
317,118,2015-05-03,Hamster
318,297,2016-01-02,Rabbit
319,297,2018-09-22,Dog
320,1077,2022-01-28,Dog
321,1077,2015-12-28,Hamster
322,958,2018-11-27,Dog
323,958,2019-12-22,Cat
324,688,2022-05-22,Dog
325,538,2022-11-23,Turtle
326,538,2015-05-10,Cat
327,1020,2020-10-10,Hamster
328,1020,2020-10-04,Bird
329,754,2021-06-15,Hamster
330,661,2016-10-11,Bird
331,214,2016-12-24,Bird
332,214,2018-03-17,Cat
333,1103,2019-11-02,Turtle
334,793,2022-04-19,Bird
335,793,2024-08-11,Rabbit
336,50,2024-04-18,Cat
337,50,2016-03-31,Bird
338,501,2019-09-04,Turtle
339,501,2020-08-15,Rabbit
340,184,2015-08-24,Hamster
341,184,2018-11-12,Turtle
342,803,2023-12-28,Hamster
343,803,2021-05-25,Turtle
344,7,2024-03-01,Turtle
345,7,2024-02-11,Rabbit
346,57,2019-06-02,Dog
347,57,2015-04-23,Rabbit
348,148,2021-02-21,Cat
349,276,2020-08-31,Hamster
350,744,2019-07-12,Dog
351,810,2020-10-28,Bird
352,810,2016-01-13,Hamster
353,1118,2019-12-07,Bird
354,195,2022-04-05,Dog
355,195,2022-04-24,Bird
356,994,2024-09-12,Rabbit
357,994,2020-06-16,Turtle
358,1217,2016-12-13,Bird
359,1217,2018-03-05,Dog
360,895,2018-09-11,Cat
361,895,2019-06-15,Bird
362,455,2021-03-30,Hamster
363,232,2022-10-07,Rabbit
364,232,2020-08-23,Turtle
365,427,2023-06-10,Cat
366,427,2019-01-03,Hamster
367,134,2015-07-25,Rabbit
368,681,2020-08-31,Cat
369,385,2017-11-09,Turtle
370,385,2019-10-23,Cat
371,720,2021-06-29,Turtle
372,701,2019-01-23,Dog
373,108,2019-04-29,Cat
374,171,2019-01-10,Rabbit
375,1012,2022-12-18,Turtle
376,651,2023-05-23,Dog
377,651,2020-08-11,Bird
378,199,2017-04-11,Hamster
379,1100,2017-08-28,Rabbit
380,1100,2015-08-25,Turtle
381,660,2023-12-04,Dog
382,660,2019-06-28,Bird
383,916,2022-03-21,Turtle
384,96,2016-12-17,Hamster
385,145,2020-01-25,Dog
386,145,2015-10-29,Bird
387,169,2020-08-10,Hamster
388,169,2019-09-01,Bird
389,260,2019-02-23,Rabbit
390,260,2016-05-31,Dog
391,547,2018-04-07,Rabbit
392,547,2018-02-10,Cat
393,515,2019-02-23,Dog
394,1210,2019-10-11,Turtle
395,443,2021-08-24,Dog
396,1075,2015-10-21,Dog
397,442,2020-10-05,Rabbit
398,442,2023-05-21,Dog
399,240,2018-01-02,Turtle
400,928,2017-11-11,Turtle
401,998,2019-08-19,Hamster
402,998,2023-07-23,Bird
403,1051,2023-02-26,Rabbit
404,1058,2023-08-20,Bird
405,1058,2016-08-08,Cat
406,795,2015-12-13,Cat
407,795,2021-12-03,Turtle
408,19,2022-10-17,Dog
409,734,2015-10-19,Cat
410,535,2021-03-17,Dog
411,535,2017-05-24,Rabbit
412,202,2016-11-28,Turtle
413,202,2016-11-09,Dog
414,421,2018-09-17,Dog
415,1198,2023-07-24,Hamster
416,1198,2016-11-07,Cat
417,304,2019-08-04,Cat
418,304,2021-03-22,Cat
419,727,2020-04-26,Rabbit
420,231,2022-07-01,Bird
421,534,2024-02-23,Hamster
422,1171,2016-12-19,Dog
423,794,2021-11-13,Turtle
424,794,2018-01-26,Rabbit
425,694,2022-01-31,Bird
426,536,2019-10-21,Bird
427,887,2019-04-20,Rabbit
428,89,2021-01-06,Hamster
429,695,2018-07-28,Bird
430,695,2017-09-15,Turtle
431,1182,2024-04-12,Bird
432,132,2020-07-08,Turtle
433,132,2020-04-25,Bird
434,699,2021-10-01,Cat
435,849,2019-12-14,Rabbit
436,849,2018-11-04,Bird
437,336,2024-02-23,Rabbit
438,585,2024-06-20,Hamster
439,585,2019-05-22,Rabbit
440,602,2019-11-30,Cat
441,602,2018-11-09,Dog
442,454,2015-04-04,Bird
443,454,2023-01-31,Cat
444,707,2019-03-02,Hamster
445,616,2020-11-04,Cat
446,1220,2017-04-23,Dog
447,104,2017-05-05,Cat
448,104,2017-10-18,Dog
449,877,2022-12-17,Turtle
450,1017,2020-08-04,Turtle
451,320,2018-03-26,Turtle
452,802,2018-05-13,Bird
453,802,2019-12-21,Rabbit
454,1116,2015-07-06,Dog
455,1116,2020-08-17,Hamster
456,549,2023-10-14,Dog
457,205,2024-04-30,Rabbit
458,1175,2023-08-21,Dog
459,1082,2021-08-23,Dog
460,1082,2015-05-07,Turtle
461,358,2015-09-08,Rabbit
462,429,2024-05-24,Bird
463,223,2018-06-05,Cat
464,223,2015-04-15,Bird
465,319,2018-06-18,Hamster
466,319,2021-09-15,Hamster
467,608,2021-05-06,Turtle
468,633,2022-02-06,Dog
469,633,2022-01-21,Rabbit
470,919,2017-09-05,Turtle
471,349,2021-06-24,Hamster
472,349,2021-02-01,Cat
473,540,2020-02-25,Turtle
474,543,2024-02-05,Turtle
475,837,2023-03-21,Turtle
476,837,2021-12-19,Turtle
477,504,2017-04-04,Turtle
478,324,2017-04-18,Cat
479,324,2022-03-11,Bird
480,311,2019-02-02,Hamster
481,921,2023-07-12,Hamster
482,516,2019-03-29,Cat
483,516,2018-12-08,Cat
484,30,2018-07-16,Rabbit
485,601,2018-08-24,Rabbit
486,920,2018-07-25,Cat
487,95,2022-12-02,Cat
488,95,2024-03-01,Cat
489,748,2015-06-24,Rabbit
490,587,2022-09-02,Hamster
491,186,2022-05-06,Hamster
492,790,2017-06-25,Turtle
493,722,2022-02-26,Bird
494,722,2023-07-05,Hamster
495,996,2021-06-03,Rabbit
496,996,2017-01-01,Cat
497,344,2022-02-05,Turtle
498,344,2019-05-28,Rabbit
499,1124,2021-06-09,Hamster
500,1124,2023-07-15,Cat
501,956,2021-01-09,Dog
502,956,2018-11-01,Rabbit
503,1090,2018-12-27,Cat
504,58,2021-10-11,Dog
505,225,2017-03-27,Hamster
506,175,2019-04-05,Cat
507,175,2020-01-04,Hamster
508,490,2018-08-22,Rabbit
509,242,2024-01-29,Bird
510,35,2015-04-14,Cat
511,548,2017-07-30,Cat
512,548,2019-10-01,Rabbit
513,1109,2023-03-30,Turtle
514,481,2021-08-05,Dog
515,197,2024-01-05,Rabbit
516,197,2020-03-05,Dog
517,1158,2023-10-15,Turtle
518,1060,2023-08-30,Dog
519,1060,2017-07-07,Turtle
520,1147,2022-04-21,Hamster
521,42,2018-07-05,Cat
522,42,2017-08-06,Dog
523,188,2022-05-02,Hamster
524,710,2018-09-19,Rabbit
525,445,2016-03-01,Rabbit
526,445,2023-04-03,Rabbit
527,495,2024-07-27,Dog
528,495,2019-04-30,Bird
529,480,2022-11-08,Dog
530,968,2023-02-16,Turtle
531,1126,2022-03-27,Turtle
532,932,2020-06-06,Turtle
533,932,2019-12-03,Rabbit
534,922,2024-05-23,Bird
535,120,2018-01-08,Bird
536,935,2020-10-19,Rabbit
537,935,2023-12-30,Bird
538,1087,2020-08-07,Bird
539,1087,2015-06-19,Dog
540,933,2023-05-17,Turtle
541,693,2017-05-13,Dog
542,1157,2021-07-18,Hamster
543,1157,2024-06-28,Rabbit
544,38,2018-11-27,Dog
545,476,2023-12-05,Dog
546,476,2019-08-13,Cat
547,14,2015-07-19,Bird
548,245,2023-07-06,Cat
549,245,2019-07-29,Hamster
550,622,2022-04-05,Hamster
551,1071,2016-05-14,Bird
552,682,2015-10-13,Rabbit
553,1015,2015-10-21,Turtle
554,338,2021-10-23,Cat
555,317,2019-12-29,Turtle
556,105,2022-12-23,Turtle
557,719,2023-05-09,Dog
558,719,2019-07-22,Turtle
559,604,2022-03-29,Rabbit
560,604,2017-11-27,Rabbit
561,374,2017-01-27,Cat
562,374,2021-11-06,Hamster
563,1072,2018-07-27,Turtle
564,1072,2021-04-06,Dog
565,1088,2022-12-21,Rabbit
566,1088,2017-08-05,Bird
567,532,2019-05-30,Rabbit
568,697,2016-01-12,Cat
569,697,2020-05-16,Rabbit
570,899,2016-06-04,Turtle
571,49,2021-01-22,Turtle
572,909,2021-12-23,Bird
573,614,2023-10-16,Dog
574,518,2023-09-01,Bird
575,124,2020-07-15,Bird
576,124,2022-11-03,Dog
577,158,2017-12-12,Turtle
578,165,2016-08-01,Cat
579,165,2024-03-31,Bird
580,226,2017-12-25,Bird
581,906,2016-05-03,Bird
582,906,2017-02-25,Turtle
583,617,2023-09-29,Bird
584,617,2016-08-16,Cat
585,431,2018-10-16,Bird
586,431,2023-03-27,Cat
587,704,2023-10-02,Dog
588,1206,2021-09-26,Bird
589,1206,2022-02-07,Bird
590,113,2024-06-29,Cat
591,113,2020-02-22,Hamster
592,1098,2020-02-27,Turtle
593,747,2017-04-25,Bird
594,987,2019-03-11,Hamster
595,1120,2017-11-01,Hamster
596,262,2018-02-16,Bird
597,746,2019-03-16,Turtle
598,746,2023-01-25,Turtle
599,1084,2017-10-31,Turtle
600,1084,2016-05-19,Hamster
601,269,2015-11-23,Hamster
602,1218,2021-07-13,Rabbit
603,1218,2019-09-30,Hamster
604,537,2023-06-17,Turtle
605,537,2022-08-09,Dog
606,510,2021-11-12,Rabbit
607,510,2016-12-20,Turtle
608,67,2018-01-14,Rabbit
609,67,2023-11-14,Cat
610,65,2018-09-24,Cat
611,46,2019-05-31,Dog
612,46,2016-06-06,Rabbit
613,508,2015-11-03,Hamster
614,1115,2021-12-16,Dog
615,1115,2020-06-25,Hamster
616,1184,2017-05-01,Cat
617,684,2019-01-01,Rabbit
618,337,2022-09-08,Rabbit
619,60,2015-10-30,Dog
620,221,2022-04-25,Rabbit
621,798,2024-03-05,Cat
622,685,2016-02-14,Turtle
623,725,2022-02-15,Turtle
624,1042,2024-01-17,Hamster
625,1042,2021-09-17,Rabbit
626,807,2015-05-31,Rabbit
627,807,2015-09-19,Bird
628,1018,2023-03-01,Cat
629,1093,2023-02-03,Rabbit
630,824,2019-02-23,Hamster
631,824,2022-02-07,Cat
632,1216,2022-08-20,Rabbit
633,59,2020-08-22,Hamster
634,59,2018-10-29,Hamster
635,15,2019-07-02,Dog
636,603,2020-12-29,Turtle
637,603,2016-04-12,Hamster
638,953,2020-03-13,Turtle
639,1162,2017-04-23,Dog
640,786,2020-05-24,Bird
641,786,2017-03-14,Hamster
642,40,2017-05-29,Bird
643,886,2024-01-06,Turtle
644,886,2015-04-16,Bird
645,243,2016-02-22,Bird
646,777,2024-04-26,Bird
647,283,2016-02-11,Turtle
648,283,2022-12-28,Bird
649,244,2016-08-20,Rabbit
650,246,2024-03-15,Dog
651,246,2022-03-28,Turtle
652,831,2015-07-06,Rabbit
653,663,2019-08-10,Dog
654,215,2017-03-10,Hamster
655,1213,2019-02-28,Hamster
656,1213,2017-10-24,Hamster
657,312,2023-06-08,Bird
658,312,2024-03-26,Turtle
659,74,2015-08-20,Bird
660,74,2023-12-22,Cat
661,1059,2017-11-27,Turtle
662,1059,2022-07-25,Turtle
663,361,2023-09-09,Hamster
664,361,2016-12-22,Hamster
665,901,2017-06-03,Cat
666,901,2015-06-12,Turtle
667,273,2022-07-31,Dog
668,273,2017-05-24,Turtle
669,61,2021-09-21,Hamster
670,294,2022-04-10,Hamster
671,294,2022-08-14,Turtle
672,316,2018-04-18,Bird
673,316,2020-07-25,Bird
674,630,2022-06-17,Turtle
675,630,2023-02-02,Turtle
676,397,2022-01-02,Dog
677,397,2020-03-10,Cat
678,642,2016-02-29,Rabbit
679,791,2018-06-27,Rabbit
680,309,2015-12-23,Bird
681,683,2016-07-24,Turtle
682,700,2015-05-09,Dog
683,477,2020-07-25,Rabbit
684,1226,2022-11-07,Hamster
685,1226,2020-10-25,Hamster
686,180,2016-12-16,Rabbit
687,423,2016-06-05,Cat
688,423,2019-10-26,Hamster
689,816,2024-03-07,Rabbit
690,479,2022-02-17,Hamster
691,863,2021-09-01,Hamster
692,863,2022-05-16,Bird
693,882,2017-04-12,Turtle
694,882,2020-05-06,Turtle
695,419,2016-04-13,Bird
696,912,2024-01-12,Turtle
697,912,2017-01-22,Turtle
698,782,2017-10-14,Hamster
699,782,2017-12-22,Turtle
700,446,2020-10-14,Hamster
701,446,2017-04-27,Dog
702,6,2024-01-21,Cat
703,6,2020-10-22,Hamster
704,352,2017-05-30,Dog
705,352,2023-06-25,Bird
706,287,2022-04-12,Cat
707,287,2015-08-13,Dog
708,723,2017-01-10,Rabbit
709,890,2024-09-04,Dog
710,248,2017-10-14,Cat
711,957,2015-12-03,Bird
712,669,2016-04-13,Turtle
713,135,2016-08-16,Dog
714,135,2021-07-07,Hamster
715,809,2021-01-27,Hamster
716,809,2023-05-09,Hamster
717,417,2019-08-10,Hamster
718,81,2022-08-18,Cat
719,564,2019-11-18,Dog
720,418,2018-01-17,Bird
721,418,2016-11-18,Cat
722,620,2018-02-05,Cat
723,307,2018-08-13,Turtle
724,307,2018-09-24,Hamster
725,438,2018-10-01,Rabbit
726,278,2020-02-11,Cat
727,678,2019-11-17,Dog
728,678,2022-03-16,Cat
729,342,2024-04-22,Rabbit
730,342,2021-02-11,Bird
731,395,2016-02-11,Bird
732,395,2022-10-14,Dog
733,1215,2020-09-22,Bird
734,1215,2016-02-28,Cat
735,954,2022-09-09,Hamster
736,835,2020-02-04,Dog
737,115,2020-03-06,Cat
738,115,2018-11-13,Dog
739,127,2017-04-17,Rabbit
740,127,2020-05-28,Rabbit
741,609,2019-09-06,Dog
742,609,2015-05-05,Bird
743,340,2021-11-23,Turtle
744,340,2018-07-22,Turtle
745,665,2023-10-13,Dog
746,665,2022-07-13,Hamster
747,469,2018-06-05,Cat
748,469,2016-03-09,Dog
749,1150,2020-06-04,Turtle
750,1150,2020-04-06,Bird
751,885,2023-01-13,Rabbit
752,885,2024-07-01,Turtle
753,203,2023-11-24,Hamster
754,203,2021-02-17,Hamster
755,71,2019-04-26,Bird
756,458,2019-07-31,Dog
757,458,2023-06-26,Dog
758,370,2020-03-13,Cat
759,370,2022-02-03,Hamster
760,657,2019-12-06,Turtle
761,657,2017-11-13,Rabbit
762,578,2018-02-17,Cat
763,733,2020-04-18,Rabbit
764,259,2018-03-07,Cat
765,259,2015-06-17,Hamster
766,252,2018-12-26,Rabbit
767,1155,2019-11-06,Cat
768,1155,2016-10-21,Cat
769,463,2024-04-01,Turtle
770,463,2023-08-19,Turtle
771,558,2017-10-22,Rabbit
772,558,2017-05-12,Cat
773,268,2018-01-23,Turtle
774,268,2023-09-25,Cat
775,1148,2017-11-26,Dog
776,944,2021-11-12,Hamster
777,944,2019-07-22,Turtle
778,1166,2017-02-27,Dog
779,1166,2021-04-11,Dog
780,505,2021-11-01,Turtle
781,1172,2019-04-16,Bird
782,88,2019-11-23,Hamster
